timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], pstate
2026/02/11 11:33:43.159, 35, 0 %, 0 %, 24.76 W, 135 MHz, 877 MHz, P0
2026/02/11 11:33:44.161, 35, 0 %, 0 %, 24.76 W, 135 MHz, 877 MHz, P0
2026/02/11 11:33:45.162, 35, 0 %, 0 %, 24.76 W, 135 MHz, 877 MHz, P0
2026/02/11 11:33:46.163, 35, 0 %, 0 %, 24.76 W, 135 MHz, 877 MHz, P0
2026/02/11 11:33:47.165, 35, 2 %, 0 %, 41.14 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:33:48.166, 44, 100 %, 65 %, 290.99 W, 1440 MHz, 877 MHz, P0
2026/02/11 11:33:49.182, 48, 100 %, 63 %, 298.83 W, 1440 MHz, 877 MHz, P0
2026/02/11 11:33:50.188, 51, 100 %, 64 %, 290.04 W, 1440 MHz, 877 MHz, P0
2026/02/11 11:33:51.189, 53, 100 %, 63 %, 292.68 W, 1440 MHz, 877 MHz, P0
2026/02/11 11:33:52.191, 55, 100 %, 64 %, 294.57 W, 1432 MHz, 877 MHz, P0
2026/02/11 11:33:53.192, 56, 100 %, 64 %, 298.83 W, 1432 MHz, 877 MHz, P0
2026/02/11 11:33:54.196, 57, 100 %, 64 %, 296.94 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:33:55.198, 58, 100 %, 63 %, 298.83 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:33:56.199, 59, 100 %, 63 %, 289.10 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:33:57.201, 60, 100 %, 63 %, 293.63 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:33:58.208, 61, 100 %, 64 %, 297.41 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:33:59.209, 62, 100 %, 61 %, 295.99 W, 1417 MHz, 877 MHz, P0
2026/02/11 11:34:00.211, 63, 100 %, 62 %, 297.41 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:34:01.214, 64, 100 %, 63 %, 296.46 W, 1425 MHz, 877 MHz, P0
2026/02/11 11:34:02.215, 64, 100 %, 62 %, 294.10 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:03.217, 65, 100 %, 62 %, 294.57 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:04.222, 66, 100 %, 64 %, 296.94 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:05.223, 66, 100 %, 61 %, 287.68 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:06.229, 67, 100 %, 62 %, 288.15 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:07.231, 67, 100 %, 62 %, 287.68 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:08.232, 68, 100 %, 63 %, 288.62 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:09.234, 69, 100 %, 63 %, 290.52 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:10.235, 69, 100 %, 61 %, 290.04 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:11.236, 70, 100 %, 62 %, 301.46 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:12.238, 70, 100 %, 62 %, 299.57 W, 1410 MHz, 877 MHz, P0
2026/02/11 11:34:13.239, 71, 100 %, 63 %, 284.84 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:14.241, 71, 100 %, 62 %, 300.51 W, 1402 MHz, 877 MHz, P0
2026/02/11 11:34:15.242, 72, 100 %, 62 %, 295.05 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:16.246, 72, 100 %, 62 %, 294.57 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:17.253, 73, 100 %, 62 %, 293.15 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:18.255, 73, 100 %, 62 %, 291.26 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:19.256, 74, 100 %, 62 %, 291.26 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:20.263, 74, 100 %, 62 %, 290.99 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:21.270, 75, 100 %, 62 %, 288.15 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:22.271, 75, 100 %, 62 %, 289.10 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:23.273, 75, 100 %, 61 %, 288.62 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:24.277, 76, 100 %, 63 %, 289.10 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:25.283, 76, 100 %, 62 %, 301.46 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:26.284, 77, 100 %, 61 %, 297.41 W, 1387 MHz, 877 MHz, P0
2026/02/11 11:34:27.289, 77, 100 %, 59 %, 298.83 W, 1395 MHz, 877 MHz, P0
2026/02/11 11:34:28.292, 78, 100 %, 59 %, 293.63 W, 1387 MHz, 877 MHz, P0
2026/02/11 11:34:29.294, 78, 100 %, 60 %, 285.31 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:30.295, 78, 100 %, 61 %, 295.99 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:31.304, 78, 100 %, 61 %, 296.46 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:32.305, 79, 100 %, 60 %, 293.63 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:33.307, 79, 100 %, 62 %, 293.63 W, 1387 MHz, 877 MHz, P0
2026/02/11 11:34:34.308, 79, 100 %, 60 %, 290.79 W, 1387 MHz, 877 MHz, P0
2026/02/11 11:34:35.310, 80, 100 %, 59 %, 297.41 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:36.313, 80, 100 %, 60 %, 295.52 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:37.320, 80, 100 %, 61 %, 292.21 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:38.322, 81, 100 %, 61 %, 288.62 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:39.324, 79, 100 %, 69 %, 251.94 W, 1470 MHz, 877 MHz, P0
2026/02/11 11:34:40.326, 81, 100 %, 59 %, 300.04 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:41.332, 82, 100 %, 60 %, 298.15 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:42.335, 82, 100 %, 61 %, 293.63 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:43.337, 82, 100 %, 61 %, 290.52 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:44.342, 82, 100 %, 60 %, 298.35 W, 1380 MHz, 877 MHz, P0
2026/02/11 11:34:45.345, 82, 100 %, 60 %, 282.95 W, 1350 MHz, 877 MHz, P0
2026/02/11 11:34:46.358, 82, 100 %, 60 %, 284.09 W, 1350 MHz, 877 MHz, P0
2026/02/11 11:34:47.369, 82, 100 %, 57 %, 262.67 W, 1312 MHz, 877 MHz, P0
2026/02/11 11:34:48.378, 82, 100 %, 58 %, 263.62 W, 1320 MHz, 877 MHz, P0
2026/02/11 11:34:49.391, 82, 100 %, 57 %, 264.09 W, 1327 MHz, 877 MHz, P0
2026/02/11 11:34:50.401, 82, 100 %, 56 %, 270.07 W, 1327 MHz, 877 MHz, P0
2026/02/11 11:34:51.408, 82, 100 %, 57 %, 276.04 W, 1327 MHz, 877 MHz, P0
2026/02/11 11:34:52.410, 82, 100 %, 57 %, 275.75 W, 1327 MHz, 877 MHz, P0
2026/02/11 11:34:53.411, 82, 100 %, 56 %, 263.62 W, 1327 MHz, 877 MHz, P0
2026/02/11 11:34:54.414, 82, 100 %, 54 %, 253.84 W, 1297 MHz, 877 MHz, P0
2026/02/11 11:34:55.428, 82, 100 %, 55 %, 256.21 W, 1297 MHz, 877 MHz, P0
2026/02/11 11:34:56.441, 82, 100 %, 55 %, 254.31 W, 1297 MHz, 877 MHz, P0
2026/02/11 11:34:57.443, 82, 100 %, 55 %, 157.89 W, 1297 MHz, 877 MHz, P0
2026/02/11 11:34:58.447, 82, 100 %, 55 %, 254.31 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:34:59.459, 82, 100 %, 55 %, 258.58 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:35:00.472, 82, 100 %, 55 %, 256.21 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:35:01.482, 82, 100 %, 55 %, 258.88 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:35:02.491, 82, 100 %, 55 %, 258.11 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:35:03.498, 82, 100 %, 55 %, 250.69 W, 1282 MHz, 877 MHz, P0
2026/02/11 11:35:04.506, 82, 100 %, 57 %, 252.41 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:35:05.514, 82, 100 %, 55 %, 246.89 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:35:06.525, 83, 100 %, 55 %, 244.52 W, 1282 MHz, 877 MHz, P0
2026/02/11 11:35:07.531, 82, 100 %, 54 %, 245.47 W, 1282 MHz, 877 MHz, P0
2026/02/11 11:35:08.542, 83, 100 %, 54 %, 244.99 W, 1275 MHz, 877 MHz, P0
2026/02/11 11:35:09.551, 82, 100 %, 55 %, 247.84 W, 1260 MHz, 877 MHz, P0
2026/02/11 11:35:10.559, 82, 100 %, 53 %, 243.09 W, 1260 MHz, 877 MHz, P0
2026/02/11 11:35:11.567, 82, 100 %, 54 %, 234.87 W, 1260 MHz, 877 MHz, P0
2026/02/11 11:35:12.576, 82, 100 %, 53 %, 248.31 W, 1260 MHz, 877 MHz, P0
2026/02/11 11:35:13.586, 82, 100 %, 54 %, 244.04 W, 1267 MHz, 877 MHz, P0
2026/02/11 11:35:14.594, 82, 100 %, 54 %, 239.46 W, 1267 MHz, 877 MHz, P0
2026/02/11 11:35:15.601, 82, 100 %, 54 %, 247.36 W, 1260 MHz, 877 MHz, P0
2026/02/11 11:35:16.610, 82, 100 %, 55 %, 233.44 W, 1230 MHz, 877 MHz, P0
2026/02/11 11:35:17.625, 82, 100 %, 54 %, 245.94 W, 1267 MHz, 877 MHz, P0
2026/02/11 11:35:18.639, 82, 100 %, 54 %, 237.56 W, 1252 MHz, 877 MHz, P0
2026/02/11 11:35:19.655, 82, 100 %, 53 %, 232.97 W, 1252 MHz, 877 MHz, P0
2026/02/11 11:35:20.669, 82, 100 %, 54 %, 244.52 W, 1252 MHz, 877 MHz, P0
2026/02/11 11:35:21.678, 82, 100 %, 54 %, 234.71 W, 1252 MHz, 877 MHz, P0
2026/02/11 11:35:22.683, 82, 100 %, 53 %, 242.78 W, 1252 MHz, 877 MHz, P0
2026/02/11 11:35:23.685, 82, 100 %, 52 %, 229.64 W, 1245 MHz, 877 MHz, P0
2026/02/11 11:35:24.691, 82, 100 %, 53 %, 241.36 W, 1237 MHz, 877 MHz, P0
2026/02/11 11:35:25.697, 82, 100 %, 52 %, 230.12 W, 1245 MHz, 877 MHz, P0
2026/02/11 11:35:26.702, 82, 100 %, 53 %, 231.70 W, 1237 MHz, 877 MHz, P0
2026/02/11 11:35:27.705, 82, 100 %, 53 %, 235.66 W, 1245 MHz, 877 MHz, P0
2026/02/11 11:35:28.709, 82, 100 %, 54 %, 240.88 W, 1237 MHz, 877 MHz, P0
2026/02/11 11:35:29.717, 82, 100 %, 53 %, 236.61 W, 1252 MHz, 877 MHz, P0
2026/02/11 11:35:30.722, 82, 100 %, 53 %, 240.88 W, 1237 MHz, 877 MHz, P0
2026/02/11 11:35:31.728, 82, 100 %, 52 %, 230.12 W, 1252 MHz, 877 MHz, P0
2026/02/11 11:35:32.732, 82, 100 %, 51 %, 237.56 W, 1222 MHz, 877 MHz, P0
2026/02/11 11:35:33.738, 82, 100 %, 52 %, 227.74 W, 1237 MHz, 877 MHz, P0
2026/02/11 11:35:34.740, 83, 100 %, 53 %, 237.08 W, 1245 MHz, 877 MHz, P0
2026/02/11 11:35:35.743, 82, 100 %, 52 %, 228.21 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:35:36.752, 82, 100 %, 50 %, 218.53 W, 1222 MHz, 877 MHz, P0
2026/02/11 11:35:37.756, 82, 100 %, 51 %, 223.61 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:35:38.759, 82, 100 %, 51 %, 228.21 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:35:39.767, 82, 100 %, 52 %, 229.16 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:35:40.776, 82, 100 %, 51 %, 217.10 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:35:41.782, 82, 100 %, 50 %, 219.81 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:35:42.793, 82, 100 %, 52 %, 226.79 W, 1222 MHz, 877 MHz, P0
2026/02/11 11:35:43.800, 82, 100 %, 51 %, 229.64 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:35:44.828, 82, 100 %, 50 %, 219.81 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:35:45.839, 82, 100 %, 51 %, 226.79 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:35:46.846, 82, 100 %, 50 %, 215.67 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:35:47.857, 82, 100 %, 51 %, 221.24 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:35:48.865, 82, 100 %, 50 %, 228.21 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:35:49.873, 82, 100 %, 52 %, 230.12 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:35:50.885, 82, 100 %, 51 %, 218.53 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:35:51.891, 82, 100 %, 50 %, 217.91 W, 1222 MHz, 877 MHz, P0
2026/02/11 11:35:52.900, 82, 100 %, 51 %, 224.56 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:35:53.907, 82, 100 %, 53 %, 229.16 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:35:54.917, 82, 100 %, 51 %, 230.59 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:35:55.927, 82, 100 %, 49 %, 218.53 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:35:56.936, 82, 100 %, 52 %, 228.69 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:35:57.945, 82, 100 %, 51 %, 227.89 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:35:58.952, 82, 100 %, 51 %, 216.63 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:35:59.963, 82, 100 %, 51 %, 222.66 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:36:00.969, 82, 100 %, 52 %, 228.21 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:36:01.978, 82, 100 %, 52 %, 231.07 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:36:02.990, 82, 100 %, 51 %, 217.91 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:36:03.997, 82, 100 %, 50 %, 216.15 W, 1230 MHz, 877 MHz, P0
2026/02/11 11:36:05.006, 82, 100 %, 52 %, 225.04 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:36:06.013, 82, 100 %, 51 %, 223.14 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:36:07.023, 82, 100 %, 51 %, 215.67 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:36:08.031, 82, 100 %, 51 %, 219.81 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:36:09.042, 82, 100 %, 52 %, 225.99 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:36:10.049, 82, 100 %, 50 %, 223.61 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:11.060, 82, 100 %, 51 %, 224.09 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:12.069, 82, 100 %, 49 %, 224.09 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:13.077, 82, 100 %, 49 %, 220.76 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:14.086, 82, 100 %, 50 %, 220.76 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:15.095, 82, 100 %, 50 %, 214.25 W, 1185 MHz, 877 MHz, P0
2026/02/11 11:36:16.106, 82, 100 %, 50 %, 212.82 W, 1185 MHz, 877 MHz, P0
2026/02/11 11:36:17.116, 82, 100 %, 52 %, 238.03 W, 1222 MHz, 877 MHz, P0
2026/02/11 11:36:18.125, 82, 100 %, 51 %, 220.76 W, 1237 MHz, 877 MHz, P0
2026/02/11 11:36:19.131, 82, 100 %, 52 %, 212.82 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:36:20.141, 82, 100 %, 51 %, 210.44 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:21.150, 82, 100 %, 52 %, 210.11 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:22.159, 82, 100 %, 52 %, 213.29 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:23.170, 82, 100 %, 51 %, 211.39 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:24.180, 82, 100 %, 50 %, 218.38 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:36:25.192, 82, 100 %, 51 %, 219.33 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:26.210, 82, 100 %, 51 %, 217.91 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:36:27.225, 82, 100 %, 52 %, 215.20 W, 1207 MHz, 877 MHz, P0
2026/02/11 11:36:28.235, 82, 100 %, 51 %, 216.63 W, 1215 MHz, 877 MHz, P0
2026/02/11 11:36:29.241, 82, 100 %, 50 %, 217.58 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:36:30.244, 82, 100 %, 48 %, 203.44 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:36:31.251, 82, 100 %, 49 %, 213.77 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:32.255, 82, 100 %, 48 %, 211.87 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:33.259, 81, 100 %, 50 %, 211.39 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:34.265, 81, 100 %, 50 %, 205.82 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:36:35.268, 81, 100 %, 48 %, 203.92 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:36:36.269, 81, 100 %, 49 %, 213.77 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:36:37.292, 81, 100 %, 49 %, 207.73 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:38.302, 81, 100 %, 50 %, 202.96 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:39.306, 81, 100 %, 49 %, 211.06 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:40.309, 81, 100 %, 48 %, 212.82 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:41.313, 81, 100 %, 48 %, 210.92 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:42.318, 81, 100 %, 48 %, 207.73 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:43.323, 81, 100 %, 49 %, 201.67 W, 1185 MHz, 877 MHz, P0
2026/02/11 11:36:44.329, 81, 100 %, 50 %, 203.92 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:36:45.337, 81, 100 %, 49 %, 212.34 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:46.349, 81, 100 %, 49 %, 211.39 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:47.359, 81, 100 %, 54 %, 207.73 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:36:48.406, 81, 100 %, 50 %, 203.92 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:49.407, 81, 100 %, 49 %, 203.44 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:36:50.448, 81, 100 %, 46 %, 203.44 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:51.453, 81, 100 %, 47 %, 204.87 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:52.461, 81, 100 %, 48 %, 212.82 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:53.470, 81, 100 %, 49 %, 211.87 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:54.481, 81, 100 %, 50 %, 208.68 W, 1162 MHz, 877 MHz, P0
2026/02/11 11:36:55.490, 81, 100 %, 49 %, 208.20 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:36:56.498, 81, 100 %, 51 %, 204.39 W, 1177 MHz, 877 MHz, P0
2026/02/11 11:36:57.526, 81, 100 %, 55 %, 138.95 W, 1290 MHz, 877 MHz, P0
2026/02/11 11:36:58.528, 80, 100 %, 46 %, 192.27 W, 1117 MHz, 877 MHz, P0
2026/02/11 11:36:59.530, 81, 100 %, 49 %, 198.34 W, 1155 MHz, 877 MHz, P0
2026/02/11 11:37:00.535, 81, 100 %, 52 %, 210.44 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:37:01.544, 81, 100 %, 51 %, 209.96 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:37:02.552, 81, 100 %, 50 %, 210.44 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:03.560, 81, 100 %, 51 %, 209.63 W, 1200 MHz, 877 MHz, P0
2026/02/11 11:37:04.568, 82, 100 %, 51 %, 211.87 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:05.575, 82, 100 %, 50 %, 209.63 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:06.585, 82, 100 %, 50 %, 210.92 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:07.594, 82, 100 %, 50 %, 211.39 W, 1192 MHz, 877 MHz, P0
2026/02/11 11:37:08.602, 79, 100 %, 42 %, 153.10 W, 967 MHz, 877 MHz, P0
2026/02/11 11:37:09.613, 80, 100 %, 48 %, 197.38 W, 1170 MHz, 877 MHz, P0
2026/02/11 11:37:10.614, 81, 100 %, 52 %, 221.71 W, 1215 MHz, 877 MHz, P0
